city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Clearfield,40.8008223,-94.4757947,1913980,Taylor,x,x,19173,Iowa,
Cleghorn,42.8122037,-95.7133746,1914115,Cherokee,x,,19035,Iowa,
Clemons,42.1138755,-93.1560365,1914160,Marshall,x,,19127,Iowa,
Alleman,41.8199875,-93.611607,1901180,Polk,x,,19153,Iowa,
Clermont,43.0035912,-91.652374,1914250,Fayette,x,,19065,Iowa,
Clinton,41.8444735,-90.1887379,1914430,Clinton,x,,19045,Iowa,
Clio,40.6350076,-93.4513276,1914475,Wayne,x,,19185,Iowa,
Clive,41.6060873,-93.77236,1914520,Dallas,,,19049,Iowa,
Clive,41.6060873,-93.77236,1914520,Polk,x,x,19153,Iowa,
Clutier,42.0794366,-92.4021334,1914655,Tama,x,,19171,Iowa,
Coalville,42.4452485,-94.1257916,1914835,Webster,x,,19187,Iowa,CDP
Coburg,40.9156997,-95.2655543,1914880,Montgomery,x,,19137,Iowa,
Coggon,42.2808248,-91.5304412,1914925,Linn,x,,19113,Iowa,
Coin,40.6544393,-95.2302597,1914970,Page,x,,19145,Iowa,
Allerton,40.7063539,-93.365383,1901270,Washington,x,,19185,Iowa,
Colesburg,42.6394355,-91.2020781,1915015,Delaware,x,,19055,Iowa,
Colfax,41.6770762,-93.2451249,1915060,Jasper,x,,19099,Iowa,
College Springs,40.6191595,-95.1208123,1915105,Page,x,,19145,Iowa,
Collins,41.9027657,-93.3063179,1915195,Story,x,,19169,Iowa,
Colo,42.0177653,-93.3152072,1915240,Story,x,,19169,Iowa,
Columbus City,41.2586363,-91.3743221,1915375,Louisa,x,,19115,Iowa,
Columbus Junction,41.2786364,-91.3598775,1915420,Louisa,x,,19115,Iowa,
Colwell,43.1558053,-92.5940738,1915465,Floyd,x,,19067,Iowa,
Conesville,41.3819687,-91.3498791,1915645,Muscatine,x,,19139,Iowa,
Conrad,42.2247077,-92.8746455,1915825,Grundy,x,,19075,Iowa,
Ackley,42.555534,-93.0529775,1900190,Hardin,x,x,19083,Iowa,
Allison,42.7535847,-92.7952244,1901315,Butler,x,,19023,Iowa,
Conroy,41.7298609,-91.9967024,1915870,Iowa,x,,19095,Iowa,CDP
Conway,40.7485991,-94.6188551,1915960,Taylor,x,,19173,Iowa,
Coon Rapids,41.8708192,-94.6774786,1916050,Carroll,x,x,19027,Iowa,
Coon Rapids,41.8708192,-94.6774786,1916050,Guthrie,,,19077,Iowa,
