County or equivalent,State or equivalent,Population (2020 census),Area (mi^2)
Lee,Virginia,"22,173",437
Loudoun,Virginia,"420,959",520
Louisa,Virginia,"37,596",498
Lunenburg,Virginia,"11,936",432
Madison,Virginia,"13,837",322
Mathews,Virginia,"8,533",86
Mecklenburg,Virginia,"30,319",624
Middlesex,Virginia,"10,625",130
Montgomery,Virginia,"99,721",388
Nelson,Virginia,"14,775",472
New Kent,Virginia,"22,945",210
Northampton,Virginia,"12,282",207
Northumberland,Virginia,"11,839",192
Nottoway,Virginia,"15,642",315
Orange,Virginia,"36,254",342
Page,Virginia,"23,709",311
Patrick,Virginia,"17,608",483
Pittsylvania,Virginia,"60,501",978
Powhatan,Virginia,"30,333",261
Prince Edward,Virginia,"21,849",353
Prince George,Virginia,"43,010",266
Prince William,Virginia,"482,204",338
Pulaski,Virginia,"33,800",321
Rappahannock,Virginia,"7,348",267
Richmond,Virginia,"8,923",192
Roanoke,Virginia,"96,929",251
Rockbridge,Virginia,"22,650",600
Rockingham,Virginia,"83,757",851
Russell,Virginia,"25,781",475
Scott,Virginia,"21,576",537
Shenandoah,Virginia,"44,186",512
Smyth,Virginia,"29,800",452
Southampton,Virginia,"17,996",600
Spotsylvania,Virginia,"140,032",401
Stafford,Virginia,"156,927",270
Surry,Virginia,"6,561",279
Sussex,Virginia,"10,829",491
Tazewell,Virginia,"40,429",520
Warren,Virginia,"40,727",214
Washington,Virginia,"53,935",564
Westmoreland,Virginia,"18,477",229
Wise,Virginia,"36,130",403
Wythe,Virginia,"28,290",463
York,Virginia,"70,045",106
"Alexandria, City of",Virginia,"159,467",15
"Bristol, City of",Virginia,"17,219",12
"Buena Vista, City of",Virginia,"6,641",7
"Charlottesville, City of",Virginia,"46,553",10
"Chesapeake, City of",Virginia,"249,422",341
"Colonial Heights, City of",Virginia,"18,170",8
"Covington, City of",Virginia,"5,737",4
"Danville, City of",Virginia,"42,590",43
"Emporia, City of",Virginia,"5,766",7
"Fairfax, City of",Virginia,"24,146",6
"Falls Church, City of",Virginia,"14,658",2.1
"Franklin, City of",Virginia,"8,180",8
"Fredericksburg, City of",Virginia,"27,982",10
"Galax, City of",Virginia,"6,720",8
"Hampton, City of",Virginia,"137,148",52
"Harrisonburg, City of",Virginia,"51,814",18
"Hopewell, City of",Virginia,"23,033",10
"Lexington, City of",Virginia,"7,320",2.5
"Lynchburg, City of",Virginia,"79,009",49
"Manassas, City of",Virginia,"42,772",10
"Manassas Park, City of",Virginia,"17,219",2.5
"Martinsville, City of",Virginia,"13,485",11
"Newport News, City of",Virginia,"186,247",68
"Norfolk, City of",Virginia,"238,005",54
"Norton, City of",Virginia,"3,987",7
"Petersburg, City of",Virginia,"33,458",23
"Poquoson, City of",Virginia,"12,460",16
"Portsmouth, City of",Virginia,"97,915",33
"Radford, City of",Virginia,"16,070",10
"Richmond, City of",Virginia,"226,610",60
"Roanoke, City of",Virginia,"100,011",43
"Salem, City of",Virginia,"25,346",15
"Staunton, City of",Virginia,"25,750",20
"Suffolk, City of",Virginia,"94,324",400
"Virginia Beach, City of",Virginia,"459,470",248
"Waynesboro, City of",Virginia,"22,196",14
"Williamsburg, City of",Virginia,"15,425",9
"Winchester, City of",Virginia,"28,120",9
Adams,Washington,"20,613",1925
Asotin,Washington,"22,285",636
Benton,Washington,"206,873",1700
Chelan,Washington,"79,074",2920
Clallam,Washington,"77,155",1738
Clark,Washington,"503,311",629
Columbia,Washington,"3,952",869
Cowlitz,Washington,"110,730",1139
Douglas,Washington,"42,938",1819
Ferry,Washington,"7,178",2204
Franklin,Washington,"96,749",1242
Garfield,Washington,"2,286",710
Grant,Washington,"99,123",2680
Grays Harbor,Washington,"75,636",1902
Island,Washington,"86,857",209
Jefferson,Washington,"32,977",1804
King,Washington,"2,269,675",2115
Kitsap,Washington,"275,611",395
Kittitas,Washington,"44,337",2297
Klickitat,Washington,"22,735",1872
Lewis,Washington,"82,149",2403
Lincoln,Washington,"10,876",2311
Mason,Washington,"65,726",959
Okanogan,Washington,"42,104",5268
Pacific,Washington,"23,365",933
Pend Oreille,Washington,"13,401",1400
Pierce,Washington,"921,130",1670
San Juan,Washington,"17,788",174
Skagit,Washington,"129,523",1731
Skamania,Washington,"12,036",1656
Snohomish,Washington,"827,957",2087
Spokane,Washington,"539,339",1764
Stevens,Washington,"46,445",2478
Thurston,Washington,"294,793",722
Wahkiakum,Washington,"4,422",264
Walla Walla,Washington,"62,584",1270
Whatcom,Washington,"226,847",2107
Whitman,Washington,"47,973",2159
Yakima,Washington,"256,728",4296
Barbour,West Virginia,"15,465",341
Berkeley,West Virginia,"122,076",321
Boone,West Virginia,"21,809",503
Braxton,West Virginia,"12,447",514
Brooke,West Virginia,"22,559",89
Cabell,West Virginia,"94,350",282
Calhoun,West Virginia,"6,229",281
Clay,West Virginia,"8,051",342
Doddridge,West Virginia,"7,808",320
Fayette,West Virginia,"40,488",664
Gilmer,West Virginia,"7,408",340
Grant,West Virginia,"10,976",477
Greenbrier,West Virginia,"32,977",1021
Hampshire,West Virginia,"23,093",642
Hancock,West Virginia,"29,095",83
Hardy,West Virginia,"14,299",583
Harrison,West Virginia,"65,921",416
Jackson,West Virginia,"27,791",466
Jefferson,West Virginia,"57,701",210
Kanawha,West Virginia,"180,745",903
Lewis,West Virginia,"17,033",389
Lincoln,West Virginia,"20,463",438
Logan,West Virginia,"32,567",454
McDowell,West Virginia,"19,111",310
Marion,West Virginia,"56,205",307
Marshall,West Virginia,"30,591",432
Mason,West Virginia,"25,453",535
Mercer,West Virginia,"59,664",420
Mineral,West Virginia,"26,938",328
Mingo,West Virginia,"23,568",423
Monongalia,West Virginia,"105,822",361
Monroe,West Virginia,"12,376",473
Morgan,West Virginia,"17,063",229
Nicholas,West Virginia,"24,604",649
Ohio,West Virginia,"42,425",106
Pendleton,West Virginia,"6,143",698
Pleasants,West Virginia,"7,653",131
Pocahontas,West Virginia,"7,869",940
Preston,West Virginia,"34,216",648
Putnam,West Virginia,"57,440",346
Raleigh,West Virginia,"74,591",607
Randolph,West Virginia,"27,932",1040
Ritchie,West Virginia,"8,444",454
Roane,West Virginia,"14,028",484
Summers,West Virginia,"11,959",361
Taylor,West Virginia,"16,705",173
Tucker,West Virginia,"6,762",419
Tyler,West Virginia,"8,313",258
Upshur,West Virginia,"23,816",355
Wayne,West Virginia,"38,982",506
Webster,West Virginia,"8,378",556
Wetzel,West Virginia,"14,442",359
Wirt,West Virginia,"5,194",233
Wood,West Virginia,"84,296",367
Wyoming,West Virginia,"21,382",501
Adams,Wisconsin,"20,654",645.65
Ashland,Wisconsin,"16,027",1045.04
Barron,Wisconsin,"46,711",862.71
Bayfield,Wisconsin,"16,220",1477.86
Brown,Wisconsin,"268,740",529.71
Buffalo,Wisconsin,"13,317",671.64
Burnett,Wisconsin,"16,526",821.85
Calumet,Wisconsin,"52,442",318.24
Chippewa,Wisconsin,"66,297",1008.37
Clark,Wisconsin,"34,659",1209.82
Columbia,Wisconsin,"58,490",765.53
Crawford,Wisconsin,"16,113",570.66
Dane,Wisconsin,"561,504",1197.24
Dodge,Wisconsin,"89,396",875.63
Door,Wisconsin,"30,066",481.98
Douglas,Wisconsin,"44,295",1304.14
Dunn,Wisconsin,"45,440",850.11
Eau Claire,Wisconsin,"105,710",637.98
Florence,Wisconsin,"4,558",488.2
Fond du Lac,Wisconsin,"104,154",719.55
Forest,Wisconsin,"9,179",1014.07
Grant,Wisconsin,"51,938",1146.85
Green,Wisconsin,"37,093",583.96
Green Lake,Wisconsin,"19,018",349.44
Iowa,Wisconsin,"23,709",762.58
Iron,Wisconsin,"6,137",758.17
Jackson,Wisconsin,"21,145",987.72
Jefferson,Wisconsin,"84,900",556.47
Juneau,Wisconsin,"26,718",766.93
Kenosha,Wisconsin,"169,151",271.99
Kewaunee,Wisconsin,"20,563",342.52
La Crosse,Wisconsin,"120,784",451.69
Lafayette,Wisconsin,"16,611",633.59
Langlade,Wisconsin,"19,491",870.64
Lincoln,Wisconsin,"28,415",878.97
Manitowoc,Wisconsin,"81,359",589.08
Marathon,Wisconsin,"138,013",1544.98
Marinette,Wisconsin,"41,872",1399.35
Marquette,Wisconsin,"15,592",455.6
Menominee,Wisconsin,"4,255",357.61
Milwaukee,Wisconsin,"939,489",241.4
Monroe,Wisconsin,"46,274",900.78
Oconto,Wisconsin,"38,965",997.99
Oneida,Wisconsin,"37,845",1112.97
Outagamie,Wisconsin,"190,705",637.52
Ozaukee,Wisconsin,"91,503",233.08
Pepin,Wisconsin,"7,318",231.98
Pierce,Wisconsin,"42,212",573.75
Polk,Wisconsin,"44,977",913.96
Portage,Wisconsin,"70,377",800.68
Price,Wisconsin,"14,054",1254.38
Racine,Wisconsin,"197,727",332.5
Richland,Wisconsin,"17,304",586.15
Rock,Wisconsin,"163,687",718.14
Rusk,Wisconsin,"14,188",913.59
St. Croix,Wisconsin,"93,536",830.9
Sauk,Wisconsin,"65,763",1257.31
Sawyer,Wisconsin,"18,074",893.06
Shawano,Wisconsin,"40,881",511.27
Sheboygan,Wisconsin,"118,034",722.33
Taylor,Wisconsin,"19,913",974.88
Trempealeau,Wisconsin,"30,760",732.97
Vernon,Wisconsin,"30,714",791.58
Vilas,Wisconsin,"23,047",856.6
Walworth,Wisconsin,"106,478",555.13
Washburn,Wisconsin,"16,623",797.11
Washington,Wisconsin,"136,761",430.7
Waukesha,Wisconsin,"406,978",549.57
Waupaca,Wisconsin,"51,812",747.71
Waushara,Wisconsin,"24,520",626.15
Winnebago,Wisconsin,"171,730",434.49
Wood,Wisconsin,"74,207",793.12
Albany,Wyoming,"37,066",4274
Big Horn,Wyoming,"11,521",3137
Campbell,Wyoming,"47,026",4797
Carbon,Wyoming,"14,537",7897
Converse,Wyoming,"13,751",4255
Crook,Wyoming,"7,181",2859
Fremont,Wyoming,"39,234",9183
Goshen,Wyoming,"12,498",2225
Hot Springs,Wyoming,"4,621",2004
Johnson,Wyoming,"8,447",4166
Laramie,Wyoming,"100,512",2686
Lincoln,Wyoming,"19,581",4069
Natrona,Wyoming,"79,955",5340
Niobrara,Wyoming,"2,467",2626
Park,Wyoming,"29,624",6943
Platte,Wyoming,"8,605",2085
Sheridan,Wyoming,"30,921",2523
Sublette,Wyoming,"8,728",4882
Sweetwater,Wyoming,"42,272",10426
Teton,Wyoming,"23,331",4008
Uinta,Wyoming,"20,450",2082
Washakie,Wyoming,"7,685",2240
Weston,Wyoming,"6,838",2398
